fighter,year,weight_class,cumulative_fights,head_tar_pct,body_tar_pct,leg_tar_pct,dist_pos_pct,clinch_pos_pct,ground_pos_pct,ctrl_pct,kd_avg,sub_att_avg,td_pct,sig_str_pct,win_rate,archetype,pca_x,pca_y,height,reach,stance
AISLING DALY,2014,Women's Strawweight,1,81.0,18.0,0.0,31.0,12.0,56.0,0.6313993174061433,0.0,1.0,50.0,61.0,1.0,Ground & Pound Grappler,4.0071121355955635,1.1209809524842813,157.48,162.56,Orthodox
AISLING DALY,2015,Women's Strawweight,3,69.33333333333333,24.333333333333332,5.333333333333333,22.333333333333332,26.333333333333332,50.0,0.6115775502464923,0.0,0.6666666666666666,43.333333333333336,52.666666666666664,0.6666666666666666,Ground & Pound Grappler,4.0071121355955635,1.1209809524842813,157.48,162.56,Orthodox
AJ CUNNINGHAM,2024,Lightweight,1,41.0,27.0,30.0,94.0,5.0,0.0,0.09420289855072464,0.0,0.0,0.0,48.0,0.0,Leg Kick Specialist,-2.0185872538329637,-0.6577395020760922,170.18,175.26,Orthodox
AJ CUNNINGHAM,2025,Bantamweight,2,54.5,16.5,27.5,97.0,2.5,0.0,0.04710144927536232,0.0,0.5,0.0,39.0,0.0,Leg Kick Specialist,-2.0185872538329637,-0.6577395020760922,170.18,175.26,Orthodox
AJ DOBSON,2022,Middleweight,2,71.5,13.0,13.5,85.0,11.0,2.5,0.04222222222222222,0.0,0.0,50.0,46.5,0.0,Leg Kick Specialist,-0.883948170168087,-0.3581992230427764,182.88,190.5,Orthodox
AJ DOBSON,2023,Middleweight,3,57.0,14.333333333333334,26.666666666666668,87.0,8.0,3.3333333333333335,0.12925925925925927,0.0,0.0,55.333333333333336,47.666666666666664,0.3333333333333333,Leg Kick Specialist,-0.883948170168087,-0.3581992230427764,182.88,190.5,Orthodox
AJ DOBSON,2024,Middleweight,4,54.25,14.0,30.0,85.25,11.0,2.5,0.16562576312576313,0.0,0.0,41.5,43.75,0.25,Leg Kick Specialist,-0.883948170168087,-0.3581992230427764,182.88,190.5,Orthodox
AJ FLETCHER,2022,Welterweight,2,73.0,7.5,18.0,89.5,3.0,6.0,0.21,0.0,1.0,33.0,50.5,0.0,Wrestling Controller,0.36723199603168183,-0.3611111464750698,180.34,187.96,Orthodox
AJ FLETCHER,2023,Welterweight,4,63.75,9.75,25.5,68.25,10.0,20.75,0.24599738422786283,0.0,0.75,16.5,47.75,0.25,Wrestling Controller,0.36723199603168183,-0.3611111464750698,180.34,187.96,Orthodox
AKBARH ARREOLA,2014,Lightweight,2,48.0,34.5,16.0,72.0,9.5,17.5,0.20253968253968255,0.5,0.5,100.0,43.5,0.5,Wrestling Controller,0.5232458826826686,-0.7718367810134966,177.8,180.34,Southpaw
AKBARH ARREOLA,2015,Lightweight,4,56.5,23.25,18.75,67.0,5.25,26.5,0.1508531746031746,0.5,0.25,50.0,45.75,0.25,Wrestling Controller,0.5232458826826686,-0.7718367810134966,177.8,180.34,Southpaw
AKIHIRO GONO,2007,Welterweight,1,14.0,33.0,51.0,74.0,11.0,14.0,0.3106212424849699,1.0,1.0,100.0,61.0,1.0,Leg Kick Specialist,-0.7058330294492805,1.1096575316548887,170.18,172.72,Switch
AKIHIRO GONO,2008,Welterweight,2,32.0,29.0,38.0,81.5,9.0,8.5,0.19197728790915164,0.5,0.5,87.5,56.5,0.5,Leg Kick Specialist,-0.7058330294492805,1.1096575316548887,170.18,172.72,Switch
